Date: 30-07-2015 07:03:50 AM  Account : bubai1995 User : Cleric Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-07-2015 01:57:26 PM  Account : dkdhamal User : Bajheera Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 30-07-2015 02:03:49 PM  Account : register User : Crat Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 30-07-2015 02:12:48 PM  Account : dkdhamal User : Bajheera Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 30-07-2015 02:17:17 PM  Account : register User : Crat Reward: -, RB: 2, Item Used:none Item Replaced:none 
Date: 30-07-2015 02:26:34 PM  Account : dkdhamal User : Bajheera Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-07-2015 02:33:05 PM  Account : register User : Crat Reward: -, RB: 3, Item Used:none Item Replaced:none 
Date: 30-07-2015 02:59:22 PM  Account : dkdhamal User : Bajheera Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 30-07-2015 03:13:11 PM  Account : register User : Crat Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 30-07-2015 03:40:08 PM  Account : register User : Crat Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 30-07-2015 03:40:52 PM  Account : dkdhamal User : Bajheera Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 30-07-2015 04:09:40 PM  Account : gmbr123 User : Ceasefire Reward: 9774;32;646454;0;, RB: 17, Item Used:9931 Item Replaced:9931;33;17;0; 
Date: 30-07-2015 04:25:22 PM  Account : tatd120 User : Dragonwar Reward: -, RB: 1, Item Used:none Item Replaced:none 
Date: 30-07-2015 06:56:32 PM  Account : bubai1995 User : Cleric Reward: -, RB: 4, Item Used:none Item Replaced:none 
Date: 30-07-2015 08:12:56 PM  Account : bubai1995 User : Cleric Reward: -, RB: 5, Item Used:none Item Replaced:none 
Date: 30-07-2015 08:24:58 PM  Account : rstar425 User : Kirsten Reward: 9773;32;646454;0;, RB: 14, Item Used:9683 Item Replaced:9683;33;1091;0; 
Date: 30-07-2015 08:59:50 PM  Account : Raghav User : Mastery Reward: -, RB: 1, Item Used:none Item Replaced:none 
